ticker,bars,days_covered,vol_median,vol_mean,vol_peak,spikes_3sig,spike_pct,avg_fiz_all,avg_fiz_spike,fiz_long_pct,yur_accum_pct,fiz_panic_pct,sess_europe,sess_asia,sess_america,price_impact_yur_accum,price_impact_fiz_panic,pi_wr_yur_accum,pi_wr_fiz_panic
GL,62506,704,206,696,64036,2022,3.23,43.4,42.7,100.0,18.1,21.3,51.9,25.0,23.0,0.0674,0.0312,49.3,48.3
CNYRUBF,63223,704,4129,10394,652718,2001,3.16,33.9,33.6,100.0,23.4,23.3,44.4,34.2,21.4,0.0042,0.0038,49.9,48.1
Eu,61566,704,152,408,30753,1945,3.16,6.2,6.1,99.8,18.1,22.2,46.1,32.8,21.1,-0.0014,0.0047,47.0,52.2
SR,64349,704,359,796,65736,1929,3.0,40.4,40.6,99.7,21.7,22.6,52.5,22.6,24.9,0.0531,0.1259,48.9,53.9
GK,61697,704,354,1026,83470,1894,3.07,41.2,41.1,100.0,15.7,19.3,55.4,15.3,29.3,0.0536,0.0595,40.1,44.0
USDRUBF,62902,704,344,750,36372,1862,2.96,49.6,49.4,100.0,19.2,24.6,48.1,29.8,22.2,0.0119,0.0055,51.8,47.2
GZ,64440,704,540,1144,114325,1861,2.89,31.5,31.5,97.4,18.2,22.5,52.4,21.3,26.3,0.001,0.0291,45.1,46.9
ED,62554,704,161,436,53838,1853,2.96,18.5,18.2,93.8,18.5,21.7,52.5,21.5,26.0,-0.0044,0.0008,46.2,44.0
MX,64450,704,591,1152,103779,1829,2.84,32.7,32.7,95.6,20.0,20.7,52.0,21.6,26.4,0.0643,0.0261,49.9,44.1
LK,59475,704,24,66,14097,1824,3.07,32.9,33.9,84.3,16.3,16.7,56.5,16.6,26.9,-0.0144,-0.0069,42.3,49.0
EURRUBF,53022,704,23,72,6709,1803,3.4,41.6,41.5,96.4,16.0,14.0,64.0,22.1,13.9,-0.0016,-0.0082,42.4,46.8
IMOEXF,64054,704,1337,3018,381589,1794,2.8,71.4,71.5,99.7,19.2,18.8,52.1,20.7,27.1,-0.0028,-0.0017,45.9,48.8
YD,58006,662,144,365,26620,1792,3.09,53.1,53.0,100.0,15.7,20.4,52.8,17.3,29.9,-0.0254,0.0823,46.5,45.5
RM,60839,704,46,110,21426,1752,2.88,79.9,79.8,36.8,15.8,17.1,54.3,17.9,27.8,0.0008,0.0173,36.5,45.7
RI,64295,704,247,436,28135,1748,2.72,58.9,58.6,85.1,18.0,23.2,50.3,24.9,24.8,0.0065,0.0109,45.7,48.0
GLDRUBF,63839,704,1040,2078,108585,1741,2.73,67.7,68.2,100.0,17.5,23.9,52.0,24.2,23.8,-0.0002,0.0207,51.3,53.1
RN,55918,704,16,41,6028,1738,3.11,32.2,31.3,96.0,15.4,18.4,60.1,17.0,23.0,0.0286,0.034,50.4,46.9
AF,55273,704,33,104,17493,1710,3.09,68.1,68.2,80.6,15.4,16.5,56.1,12.9,31.0,0.0137,0.0173,44.3,49.1
AL,52126,704,32,118,8234,1708,3.28,23.4,23.5,94.9,13.2,17.0,58.4,15.5,26.1,0.0413,0.0114,54.7,46.6
UC,48220,704,65,269,36482,1704,3.53,18.0,18.1,55.8,15.8,17.3,58.1,29.0,12.9,-0.0047,-0.0153,41.6,40.5
VB,58931,704,292,751,54842,1678,2.85,45.3,45.0,100.0,18.3,20.0,51.8,18.4,29.9,0.1656,0.0712,51.8,50.1
PT,59631,704,42,168,7888,1673,2.81,45.2,45.8,60.4,16.9,15.4,58.6,15.1,26.3,0.148,0.0434,53.9,47.9
SV,64531,704,1136,2848,144013,1659,2.57,55.1,55.2,82.1,18.0,16.6,61.2,13.5,25.3,0.0264,0.0842,46.6,52.9
GAZPF,51020,594,58,170,13388,1658,3.25,59.6,59.3,100.0,14.7,17.8,55.9,15.9,28.2,0.0038,0.0101,52.3,45.8
SBERF,48942,594,28,89,17352,1641,3.35,61.3,61.0,100.0,14.3,19.7,55.7,18.7,25.6,0.0145,-0.0015,55.7,46.1
PD,61444,704,39,131,6103,1639,2.67,60.1,61.7,72.9,17.2,17.0,59.9,15.9,24.2,0.102,0.0531,54.6,50.9
MM,51145,704,15,46,9631,1633,3.19,65.0,64.9,88.8,15.5,16.9,60.9,14.4,24.7,-0.0094,0.1201,51.4,50.7
BR,64537,704,935,1728,133928,1581,2.45,68.8,68.5,81.1,19.9,18.7,59.0,15.6,25.5,-0.1383,-0.0274,47.1,44.9
GD,64509,704,655,1102,42315,1578,2.45,40.6,40.5,68.2,18.1,18.4,59.3,16.0,24.7,0.0115,-0.0015,48.8,55.0
NM,50010,704,16,45,12317,1573,3.15,49.8,49.8,100.0,13.9,18.9,61.0,14.1,24.9,-0.0071,0.0625,45.2,48.3
CC,47670,601,231,1942,260166,1478,3.1,80.2,80.3,82.1,13.5,16.7,51.2,29.9,18.9,0.2409,0.0711,57.1,52.6
NG,60128,704,169,2760,329579,1464,2.43,69.7,69.7,60.2,15.6,16.6,65.8,7.7,26.5,0.5196,0.1418,52.2,50.2
ME,48504,704,21,66,6029,1447,2.98,52.9,52.2,93.0,16.4,18.8,57.9,14.7,27.4,0.0275,-0.041,43.9,46.3
SN,43910,704,10,27,2000,1337,3.04,40.0,41.6,100.0,11.3,14.1,61.6,12.0,26.4,-0.0303,0.0805,48.3,53.2
TT,38082,455,108,332,64358,1169,3.07,42.2,42.6,29.9,16.4,18.6,50.9,20.2,28.9,0.0024,0.0894,47.9,49.1
MG,39273,704,6,17,1679,1155,2.94,52.6,53.2,96.9,13.0,15.5,61.6,16.1,22.3,0.2553,0.1594,54.0,52.5
SP,32895,704,53,239,21650,1117,3.4,45.7,45.5,99.9,16.5,15.6,55.2,13.8,31.0,0.0172,0.0637,46.7,52.9
NA,34989,381,344,827,31197,1044,2.98,50.6,50.8,18.2,18.8,15.5,62.7,7.2,30.1,-0.0054,-0.0493,50.5,41.4
HY,30485,704,10,35,3437,1008,3.31,60.5,61.0,87.7,14.4,16.6,62.3,11.8,25.9,0.1341,0.065,49.0,51.5
Si,33101,707,1618,3236,88274,966,2.92,11.8,12.0,100.0,25.8,26.5,51.4,26.1,22.5,-0.0172,0.0246,45.2,52.3
IB,28500,308,320,984,75146,914,3.21,54.2,54.0,100.0,13.3,19.1,62.6,9.5,27.9,0.1131,0.1134,54.1,42.3
CE,22877,308,36,196,28479,802,3.51,52.9,52.9,100.0,13.5,17.1,59.0,14.5,26.6,-0.01,0.0647,52.8,56.2
SF,23142,592,23,185,43789,781,3.37,43.7,43.5,0.8,16.4,15.5,57.7,12.4,29.8,-0.7285,2.0554,48.4,48.8
BM,21539,308,44,479,74323,652,3.03,73.7,73.4,73.9,17.2,16.6,56.1,12.6,31.3,-0.062,-0.1372,45.5,48.1
MC,21373,227,455,1070,65325,651,3.05,75.7,75.7,0.0,20.7,17.1,47.6,23.3,29.0,0.0699,0.1622,47.4,52.3
CR,17998,516,416,15399,1464562,642,3.57,17.9,17.9,100.0,20.9,17.0,48.0,34.7,17.3,0.0185,-0.0262,47.0,45.0
SS,19203,235,193,935,117175,624,3.25,56.8,56.8,100.0,13.0,19.9,53.0,16.3,30.6,0.0681,0.0865,44.4,42.7
TN,18706,227,92,303,25320,584,3.12,58.3,58.5,100.0,17.3,16.6,52.4,19.0,28.6,0.1561,0.2415,48.5,54.6
HS,13836,308,12,89,17552,550,3.98,59.8,59.8,5.3,13.5,11.3,64.9,13.8,21.3,-0.0069,-0.0525,43.2,45.2
RB,13560,259,39,341,94779,522,3.85,42.3,42.7,100.0,13.4,23.8,54.4,23.2,22.4,-0.0134,0.0098,38.6,45.2
SE,11686,227,40,201,16320,397,3.4,67.8,67.9,72.5,15.9,14.1,56.4,11.6,32.0,0.1253,0.174,41.3,46.4
OJ,11352,308,6,25,2427,383,3.37,89.9,89.6,69.5,10.2,13.3,69.5,5.0,25.6,-0.1687,0.0167,46.2,45.1
NR,8835,308,5,20,2829,299,3.38,80.1,79.2,82.6,17.1,17.7,66.2,9.4,24.4,0.457,0.1906,58.8,49.1
DX,7778,308,4,14,1406,271,3.48,72.6,72.8,3.0,13.3,12.9,57.6,11.1,31.4,0.005,-0.1176,60.0,37.1
RL,7701,164,25,102,4099,266,3.45,62.8,63.0,100.0,17.7,14.3,53.0,18.0,28.9,0.0868,-0.008,55.3,52.6
MN,6942,165,41,203,30607,238,3.43,54.7,54.8,100.0,13.0,18.1,50.8,18.5,30.7,0.0267,0.0179,35.5,41.9
KC,6330,84,52,414,33888,235,3.71,84.5,84.6,100.0,13.2,14.5,51.1,22.6,26.4,0.0638,0.0101,48.4,58.8
W4,3651,235,2,7,1122,137,3.75,61.1,60.6,71.5,10.9,22.6,54.7,10.2,35.0,-0.1466,-0.443,40.0,41.9
VI,2488,704,2,6,315,68,2.73,99.6,99.7,17.6,0.0,1.5,58.8,4.4,36.8,,,,
MY,1347,308,2,51,2000,41,3.04,46.3,51.9,80.5,4.9,19.5,61.0,17.1,22.0,,-0.3703,,62.5
X5,1192,14,46,198,10227,41,3.44,43.6,43.7,100.0,14.6,12.2,61.0,12.2,26.8,0.1109,0.0262,66.7,40.0
CH,1040,202,2,10,1453,36,3.46,52.6,54.0,100.0,19.4,11.1,58.3,16.7,25.0,1.2756,,57.1,
AU,672,703,2,8,209,23,3.42,64.1,63.6,73.9,13.0,13.0,56.5,13.0,30.4,,,,
FF,572,307,2,30,1941,22,3.85,42.6,45.7,77.3,13.6,13.6,63.6,9.1,27.3,,,,
